Date,Open,High,Low,Close,Adj Close,Volume
3/25/2019,742.400024,742.400024,730.549988,735.25,646.336182,7644966
3/26/2019,735.25,735.25,719.099976,727.75,639.743042,9406261
3/27/2019,730,732.299988,727.150024,729.700012,641.457275,7387487
3/28/2019,730,745,730,737.799988,648.577759,9277241
4/1/2019,742,760,742,755.099976,663.785706,6584982
4/2/2019,759,765.799988,754.599976,759.400024,667.565674,7283600
4/3/2019,756,758.5,746.799988,753.299988,662.203308,6897127
4/4/2019,751.400024,753.799988,745.099976,747.900024,657.45636,7688525
4/5/2019,750.900024,760.950012,748,759.299988,667.477722,6276040
4/8/2019,763.049988,770,755.400024,767.25,674.466309,4919911
4/9/2019,770,773,758.200012,760.599976,668.620605,6730692
4/10/2019,764,766.700012,751.299988,752.700012,661.675903,7031088
4/11/2019,751.75,751.75,740.049988,742.700012,652.885193,8200995
4/12/2019,743.099976,751.549988,740.599976,747.75,657.324402,7043212
4/15/2019,724.700012,731.349976,712.599976,727.5,639.523315,31574803
4/16/2019,727.900024,727.900024,714.099976,724.099976,636.534546,12524411
4/18/2019,722.5,722.5,712.75,717.049988,630.337036,13801105
4/22/2019,717.049988,725.75,715,721.049988,633.853333,6455426
4/23/2019,723.900024,730,718.400024,728.200012,640.138611,5516668
4/24/2019,728.200012,737.900024,724,736.450012,647.390991,8285120
4/25/2019,736.450012,737.650024,727.049988,728.549988,640.44635,8005235
4/26/2019,731,739.799988,729,738,648.75354,6895168
4/30/2019,738,753.799988,738,751.349976,660.489014,9920046
5/2/2019,747,748.400024,729.5,730.799988,642.424255,6351352
5/3/2019,722.900024,731,718.200012,723.599976,636.09491,6348116
5/6/2019,715,721.799988,710.650024,718.400024,631.523865,8858265
5/7/2019,720.400024,727.900024,718.700012,724.549988,636.930115,5747536
5/8/2019,721,726,716.5,719.349976,632.358887,6247642
5/9/2019,719.150024,730.299988,715.799988,721.049988,633.853333,7396525
5/10/2019,720.799988,726,715,716.849976,630.161194,8352335
5/13/2019,716.549988,726.450012,712.099976,719.700012,632.666626,6808993
5/14/2019,716.5,717.75,703.599976,713.849976,627.524048,10513001
5/15/2019,714.900024,725.200012,712.599976,716.099976,629.501892,6668929
5/16/2019,720,737,719.099976,733.099976,644.446106,6468556
5/17/2019,733.150024,735.799988,720.099976,723.900024,636.358704,8155948
5/20/2019,719.700012,726.400024,706,722.400024,635.040039,11213708
5/21/2019,722.650024,722.650024,707.700012,709.299988,623.524292,8645535
5/22/2019,710,718.25,707,709.75,623.9198,5795713
5/23/2019,715,716.700012,697.450012,701.049988,616.271973,7233736
5/24/2019,703.799988,711.75,700.450012,709.200012,623.436401,7016424
5/27/2019,707.400024,713.799988,705.5,708.099976,622.46936,10247544
5/28/2019,712,733.450012,709.799988,728.099976,640.050781,23860490
5/29/2019,725.5,733.650024,723.650024,727.799988,639.787048,10293077
5/30/2019,727,737.25,722.549988,733.549988,644.841675,15089296
5/31/2019,736.5,742.950012,733.200012,737.75,648.533813,8290306
6/3/2019,729.799988,750.900024,729,744.650024,654.599426,7744761
6/4/2019,737.25,739.450012,733.150024,735.299988,646.380005,11733702
6/6/2019,736.5,744.650024,733.650024,735.599976,646.643738,7563925
6/7/2019,735.849976,743.950012,735.849976,739.099976,649.72052,3218358
6/10/2019,740.099976,754.099976,740.099976,753.5,662.379211,4435148
6/11/2019,755,759,750.5,754.900024,663.609802,5733127
6/12/2019,756.950012,756.950012,745,753.799988,662.642944,8738342
6/13/2019,740,747.200012,740,742.650024,662.063416,4808577
6/14/2019,743.849976,745.5,738.25,740.450012,660.102173,5556353
6/17/2019,743,744.5,737.799988,740.549988,660.191284,3085588
6/18/2019,740.200012,752.450012,740.200012,750.150024,668.749573,6202838
6/19/2019,752.5,755.400024,748.599976,751.900024,670.309692,4596253
6/20/2019,737.799988,756.900024,735.900024,754.900024,672.98407,7148684
6/21/2019,755,755,747.150024,750.200012,668.79425,13200318
6/24/2019,751.900024,751.900024,742.650024,745.5,664.604187,4758178
6/25/2019,744,750.900024,737.299988,748.099976,666.921997,3677911
6/26/2019,743,751.450012,738,739.200012,658.987732,5447130
6/27/2019,742,744.700012,728.150024,730.549988,651.276367,11122346
6/28/2019,735.5,739.5,728.5,732,652.56897,5919494
7/1/2019,735,737.5,729.849976,731.299988,651.945007,3224968
7/2/2019,734,741.650024,730.099976,740,659.700989,4837606
7/3/2019,741,743.200012,730,731.299988,651.945007,5958379
7/4/2019,729,736.400024,728.599976,733.799988,654.173706,3274064
7/5/2019,735,736.400024,713.5,718,640.088135,4926289
7/8/2019,716.450012,724.950012,712.299988,717.599976,639.731567,7177092
7/9/2019,718,719.849976,709.049988,715.5,637.859436,5022638
7/10/2019,709,722.700012,706.5,717.25,639.419617,7573816
7/11/2019,719.450012,723.5,709.599976,721.5,643.208435,6252688
7/12/2019,722.5,730.599976,719.599976,726.75,647.888733,7874441
7/15/2019,763,781.650024,754.200012,779.349976,694.781067,31064152
7/16/2019,777,787.799988,776,784.849976,699.684204,9924322
7/17/2019,783.900024,795,776.75,794.150024,707.974976,6754348
7/18/2019,789.049988,798.5,786.200012,792.700012,706.682373,6534471
7/19/2019,788.700012,794.5,781.25,785.400024,700.174622,6812754
7/22/2019,785.950012,792,782.049988,784.400024,699.283081,7107151
7/23/2019,787,804,785.549988,790.049988,704.319946,10782564
7/24/2019,788,793.75,783.599976,786.299988,700.976868,5745146
7/25/2019,788.25,800.200012,787.650024,794.5,708.287048,9773568
7/26/2019,792.299988,795,782.200012,787,701.600891,4941763
7/29/2019,789.5,796.950012,786.200012,791.450012,705.568054,6244316
7/30/2019,791.900024,797.799988,788.549988,792.700012,706.682373,8673253
7/31/2019,790.849976,799.799988,781.599976,793.650024,707.529297,7350584
8/1/2019,786.450012,788.400024,764.400024,768.849976,685.42041,10066407
8/2/2019,765.049988,779.900024,762.25,775.599976,691.437927,10838336
8/5/2019,772.599976,785.900024,768.650024,776.700012,692.418579,9976238
8/6/2019,778.799988,783.700012,769.799988,774.450012,690.412781,9331718
8/7/2019,778.900024,783.450012,772.349976,776.099976,691.883545,5130457
8/8/2019,782.700012,792.75,781.25,788.75,703.161072,8009009
8/9/2019,792,796.75,784.799988,789.849976,704.141663,4362520
8/13/2019,784.150024,786,760.150024,764.75,681.765259,7517099
8/14/2019,775.099976,778.25,768,774.799988,690.72467,5940968
8/16/2019,780,780.049988,762.5,774.549988,690.501831,5128088
8/19/2019,775.599976,783,773.349976,777.650024,693.265503,3881451
8/20/2019,785.200012,798,783.849976,792.75,706.726868,8435344
8/21/2019,793,803.75,793,799.450012,712.700012,5926896
8/22/2019,799.900024,801.299988,792.349976,795.700012,709.35675,5222488
8/23/2019,796.450012,809.950012,795.799988,802.200012,715.151428,6895015
8/26/2019,795.900024,806.799988,786.900024,802.549988,715.463501,5412074
8/27/2019,791,794.950012,781.099976,784.650024,699.506042,16061642
8/28/2019,787.400024,805,786.299988,802.5,715.419067,5881134
8/29/2019,795.5,809.700012,795.5,806.950012,719.386169,7830413
8/30/2019,810,817.349976,802,814.900024,726.473389,8174186
9/3/2019,815,822.400024,812.049988,814.25,725.893921,5647088
9/4/2019,810.75,822.450012,810.25,821.299988,732.178833,6199015
9/5/2019,830.099976,837.5,826.650024,834.049988,743.545471,7926895
9/6/2019,843.299988,847,835.049988,840.150024,748.983459,6106841
9/9/2019,836.799988,840.299988,827.549988,829.099976,739.132507,4377870
9/11/2019,822.299988,828.549988,814.150024,820.099976,731.109192,7981036
9/12/2019,816.400024,819.849976,810.849976,816.400024,727.810669,4400017
9/13/2019,818.099976,831.049988,817.5,829.299988,739.31073,4832021
9/16/2019,832.049988,837.950012,820.549988,827.700012,737.88446,4846496
9/17/2019,831.5,835,820.549988,831.25,741.049255,5540901
